Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"330197","CANTON-POTSDAM HOSPITAL","50 LEROY STREET","Potsdam","NY","13676","ST. LAWRENCE","58.14","78.19","86.61","77.88","74.30","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.34","78.58","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","68.59","62.68","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.62","65.71","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.88","59.74","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","66.41","60.20","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.66","91.29","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","65.29","66.38","0 out of 10","0 out of 9","0 out of 10","10","15"
"360276","ST ELIZABETH BOARDMAN HEALTH CENTER","8401 MARKET STREET","Boardman","OH","44512","MAHONING","58.14","78.19","86.61","82.88","79.17","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","82.30","79.60","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","67.68","62.36","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","74.14","68.60","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.45","59.28","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","64.23","65.00","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","81.55","80.89","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","80.19","73.96","3 out of 10","0 out of 9","3 out of 10","5","15"
"070017","MIDSTATE MEDICAL CENTER","435 LEWIS AVENUE","Meriden","CT","06450","NEW HAVEN","58.14","78.19","86.61","80.90","81.60","4 out of 10","1 out of 9","4 out of 10","63.58","80.51","88.80","80.17","80.41","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","67.80","63.54","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.47","68.87","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.99","65.28","3 out of 10","2 out of 9","3 out of 10","44.32","65.30","79.39","67.88","67.12","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","85.13","85.15","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","71.80","69.61","0 out of 10","0 out of 9","0 out of 10","9","18"
"050103","WHITE MEMORIAL MEDICAL CENTER","1720 E CESAR AVENUE","Los Angeles","CA","90033","LOS ANGELES","58.14","78.19","86.61","78.34","72.06","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","82.32","79.33","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.30","57.17","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.91","67.77","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.80","65.07","2 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","61.41","59.86","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","83.51","88.04","4 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","76.74","73.35","3 out of 10","0 out of 9","3 out of 10","11","13"
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","Mesa","AZ","85206","MARICOPA","58.14","78.19","86.61","81.09","81.39","4 out of 10","0 out of 9","4 out of 10","63.58","80.51","88.80","76.53","76.95","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","74.82","71.18","4 out of 10","0 out of 9","4 out of 10","49.53","70.28","78.33","74.40","71.23","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","66.91","65.12","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","60.52","59.75","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.38","89.71","7 out of 10","6 out of 9","7 out of 10","35.99","70.02","84.60","79.07","79.16","6 out of 10","0 out of 9","6 out of 10","25","14"
"140281","NORTHWESTERN MEMORIAL HOSPITAL","251 E HURON ST","Chicago","IL","60611","COOK","58.14","78.19","86.61","76.14","77.44","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","81.20","81.27","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","59.15","57.87","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.45","68.83","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.79","62.44","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","63.72","65.93","1 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","80.18","81.55","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","75.59","74.79","3 out of 10","0 out of 9","3 out of 10","8","14"
"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","Las Vegas","NV","89144","CLARK","58.14","78.19","86.61","70.79","69.79","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","72.66","70.55","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","53.36","49.86","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","64.54","62.47","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","54.16","55.00","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","60.48","59.09","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","84.31","82.59","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","63.67","61.33","0 out of 10","0 out of 9","0 out of 10","0","8"
"180002","WHITESBURG ARH HOSPITAL","240 HOSPITAL ROAD","Whitesburg","KY","41858","LETCHER","58.14","78.19","86.61","79.58","83.01","6 out of 10","4 out of 9","6 out of 10","63.58","80.51","88.80","85.24","89.60","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","71.91","78.71","9 out of 10","8 out of 9","9 out of 10","49.53","70.28","78.33","67.40","76.28","7 out of 10","8 out of 9","8 out of 10","41.42","62.88","73.36","66.82","69.82","6 out of 10","4 out of 9","6 out of 10","44.32","65.30","79.39","71.65","64.71","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.19","88.60","5 out of 10","3 out of 9","5 out of 10","35.99","70.02","84.60","66.54","75.07","4 out of 10","4 out of 9","4 out of 10","48","19"
"260040","COX MEDICAL CENTERS","3801 SOUTH NATIONAL AVENUE","Springfield","MO","65802","GREENE","58.14","78.19","86.61","74.66","76.29","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","79.95","77.42","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","60.19","60.48","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","66.77","65.69","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.03","58.42","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.94","57.43","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.96","86.10","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","67.24","69.11","0 out of 10","1 out of 9","1 out of 10","3","12"
"120011","KAISER FOUNDATION HOSPITAL","3288 MOANALUA RD","Honolulu","HI","96819","HONOLULU","58.14","78.19","86.61","78.12","80.86","3 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","84.58","84.90","5 out of 10","0 out of 9","5 out of 10","37.29","65.05","80.01","68.49","69.78","3 out of 10","1 out of 9","3 out of 10","49.53","70.28","78.33","72.22","72.17","3 out of 10","0 out of 9","3 out of 10","41.42","62.88","73.36","69.32","66.88","4 out of 10","0 out of 9","4 out of 10","44.32","65.30","79.39","63.39","66.41","1 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","87.57","88.18","4 out of 10","1 out of 9","4 out of 10","35.99","70.02","84.60","77.50","80.70","7 out of 10","4 out of 9","7 out of 10","30","20"
"450867","SETON NORTHWEST HOSPITAL","11113 RESEARCH BOULEVARD","Austin","TX","78759","TRAVIS","58.14","78.19","86.61","76.60","77.82","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","80.52","80.17","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.16","64.68","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.92","71.16","1 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","58.78","69.24","6 out of 10","7 out of 9","7 out of 10","44.32","65.30","79.39","64.02","65.36","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","85.65","87.16","3 out of 10","2 out of 9","3 out of 10","35.99","70.02","84.60","70.20","73.81","3 out of 10","2 out of 9","3 out of 10","16","19"
"520196","OAKLEAF SURGICAL HOSPITAL","1000 OAKLEAF WAY","Altoona","WI","54720","EAU CLAIRE","58.14","78.19","86.61","94.42","91.72","10 out of 10","0 out of 9","10 out of 10","63.58","80.51","88.80","85.89","89.22","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","91.19","88.12","10 out of 10","0 out of 9","10 out of 10","49.53","70.28","78.33","81.93","81.16","10 out of 10","0 out of 9","10 out of 10","41.42","62.88","73.36","81.59","80.55","10 out of 10","0 out of 9","10 out of 10","44.32","65.30","79.39","85.88","87.67","10 out of 10","9 out of 9","10 out of 10","64.09","85.91","91.23","93.79","93.74","10 out of 10","0 out of 9","10 out of 10","35.99","70.02","84.60","90.93","87.81","10 out of 10","0 out of 9","10 out of 10","80","20"
"030001","ABRAZO MARYVALE CAMPUS","5102 WEST CAMPBELL AVENUE","Phoenix","AZ","85031","MARICOPA","58.14","78.19","86.61","72.52","72.84","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","76.81","75.93","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","61.04","57.91","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.00","66.04","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","57.33","61.75","0 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","62.34","60.71","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.55","82.02","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","63.75","56.71","0 out of 10","0 out of 9","0 out of 10","2","12"
"050101","SUTTER SOLANO MEDICAL CENTER","300 HOSPITAL DR","Vallejo","CA","94589","SOLANO","58.14","78.19","86.61","75.70","76.00","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.77","83.05","3 out of 10","4 out of 9","4 out of 10","37.29","65.05","80.01","62.08","60.96","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.31","71.81","2 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","61.04","65.73","3 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","62.99","61.78","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.79","86.29","1 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","66.31","66.54","0 out of 10","0 out of 9","0 out of 10","14","16"
"050324","SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 GENESEE AVENUE","La Jolla","CA","92037","SAN DIEGO","58.14","78.19","86.61","81.07","80.37","3 out of 10","0 out of 9","3 out of 10","63.58","80.51","88.80","81.83","81.56","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","64.37","65.58","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","75.53","74.35","5 out of 10","0 out of 9","5 out of 10","41.42","62.88","73.36","64.91","64.50","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","63.35","67.88","2 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","83.21","84.89","0 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","76.21","77.88","5 out of 10","1 out of 9","5 out of 10","22","19"
"140177","JACKSON PARK HOSPITAL","7531 S STONY ISLAND AVE","Chicago","IL","60649","COOK","58.14","78.19","86.61","61.18","62.23","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","72.61","68.31","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","47.38","39.88","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","55.71","54.75","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","44.76","47.50","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","53.95","55.77","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","65.25","68.32","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","35.99","38.40","0 out of 10","0 out of 9","0 out of 10","1","1"
"050773","SAN LEANDRO HOSPITAL","13855 E 14TH STREET","San Leandro","CA","94578","ALAMEDA","58.14","78.19","86.61","70.57","70.15","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.76","78.76","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","56.74","53.05","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.48","66.49","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.82","53.62","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","57.48","61.79","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","81.15","84.08","0 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","55.43","59.68","0 out of 10","1 out of 9","1 out of 10","4","11"
"380061","PROVIDENCE PORTLAND MEDICAL CENTER","4805 NE GLISAN STREET","Portland","OR","97213","MULTNOMAH","58.14","78.19","86.61","78.32","79.52","2 out of 10","1 out of 9","2 out of 10","63.58","80.51","88.80","79.82","80.76","1 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","64.64","63.85","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","72.43","71.77","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","65.12","66.37","3 out of 10","1 out of 9","3 out of 10","44.32","65.30","79.39","63.29","64.37","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.13","88.76","5 out of 10","3 out of 9","5 out of 10","35.99","70.02","84.60","75.26","74.94","4 out of 10","0 out of 9","4 out of 10","17","19"
"050309","SUTTER ROSEVILLE MEDICAL CENTER","ONE MEDICAL PLAZA","Roseville","CA","95661","PLACER","58.14","78.19","86.61","76.25","75.57","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.18","77.37","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","67.43","68.10","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","68.81","70.93","1 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","60.70","61.34","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","62.15","63.38","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.36","84.71","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","74.83","74.11","3 out of 10","0 out of 9","3 out of 10","7","16"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","New York","NY","10021","NEW YORK","58.14","78.19","86.61","75.25","76.13","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.92","80.48","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","57.94","59.01","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.34","65.95","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.05","60.21","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.66","60.05","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","81.45","82.84","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","74.07","72.89","2 out of 10","0 out of 9","2 out of 10","3","14"
"050760","KAISER FOUNDATION HOSPITAL - ANTIOCH","4501 SAND CREEK ROAD","Antioch","CA","94531","CONTRA COSTA","58.14","78.19","86.61","74.84","74.97","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","82.85","83.16","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","63.78","60.76","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.51","70.07","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.60","59.28","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.74","62.87","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.33","87.91","4 out of 10","0 out of 9","4 out of 10","35.99","70.02","84.60","77.43","75.22","4 out of 10","0 out of 9","4 out of 10","11","16"
"390174","THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET","Philadelphia","PA","19107","PHILADELPHIA","58.14","78.19","86.61","80.60","81.36","4 out of 10","1 out of 9","4 out of 10","63.58","80.51","88.80","79.00","79.36","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","71.75","71.57","4 out of 10","0 out of 9","4 out of 10","49.53","70.28","78.33","71.48","69.93","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.00","64.62","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","59.00","58.59","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.05","86.73","2 out of 10","1 out of 9","2 out of 10","35.99","70.02","84.60","73.86","73.02","2 out of 10","0 out of 9","2 out of 10","14","13"
"150005","HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","Danville","IN","46122","HENDRICKS","58.14","78.19","86.61","84.07","83.55","6 out of 10","0 out of 9","6 out of 10","63.58","80.51","88.80","85.87","85.21","6 out of 10","0 out of 9","6 out of 10","37.29","65.05","80.01","70.53","70.85","4 out of 10","0 out of 9","4 out of 10","49.53","70.28","78.33","73.32","74.15","5 out of 10","1 out of 9","5 out of 10","41.42","62.88","73.36","65.03","64.13","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","69.81","68.20","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","89.30","93.00","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","83.75","83.28","9 out of 10","0 out of 9","9 out of 10","44","20"
"330024","MOUNT SINAI HOSPITAL","ONE GUSTAVE L LEVY PLACE","New York","NY","10029","NEW YORK","58.14","78.19","86.61","78.35","75.89","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.39","78.79","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.38","61.18","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.81","69.08","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.23","60.31","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.15","58.15","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.04","84.36","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","69.05","65.44","0 out of 10","0 out of 9","0 out of 10","0","13"
"450662","VALLEY REGIONAL MEDICAL CENTER","100 A ALTON GLOOR","Brownsville","TX","78526","CAMERON","58.14","78.19","86.61","72.87","72.97","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.54","78.71","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","55.49","54.53","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","65.65","63.71","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.88","61.53","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.68","62.94","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","84.36","84.94","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","67.34","66.02","0 out of 10","0 out of 9","0 out of 10","0","12"
"140234","ILLINOIS VALLEY COMMUNITY HOSPITAL","925 WEST ST","Peru","IL","61354","LA SALLE","58.14","78.19","86.61","84.60","84.64","7 out of 10","0 out of 9","7 out of 10","63.58","80.51","88.80","86.60","84.72","5 out of 10","0 out of 9","5 out of 10","37.29","65.05","80.01","76.57","80.72","10 out of 10","9 out of 9","10 out of 10","49.53","70.28","78.33","75.85","74.02","5 out of 10","0 out of 9","5 out of 10","41.42","62.88","73.36","68.42","70.39","7 out of 10","3 out of 9","7 out of 10","44.32","65.30","79.39","68.71","67.76","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","90.60","90.87","9 out of 10","4 out of 9","9 out of 10","35.99","70.02","84.60","77.24","79.19","6 out of 10","2 out of 9","6 out of 10","51","20"
